Fecha,grado,toma combi,N de combis,dinero invertido,distancia,tiempo,Sexo
2021/05/16 2:11:32 p. m. GMT-5,2,No,0,0,1.4,30 min,Hombre
2021/05/16 2:12:29 p. m. GMT-5,8,No,0,0,2.2,30 min,Mujer
2021/05/16 2:13:58 p. m. GMT-5,2,No,0,0,2,30 min,Hombre
2021/05/16 2:15:25 p. m. GMT-5,8,No,0,0,2.1,30 min,Hombre
2021/05/16 2:15:33 p. m. GMT-5,2,No,0,0,1.9,30 min,Hombre
2021/05/16 2:16:05 p. m. GMT-5,2,No,0,0,0.9,30 min,Mujer
2021/05/16 2:16:44 p. m. GMT-5,6,No,0,0,1,30 min,Hombre
2021/05/16 2:17:32 p. m. GMT-5,6,No,0,0,1.4,30 min,Hombre
2021/05/16 2:17:41 p. m. GMT-5,8,No,0,0,2.7,30 min,Mujer
2021/05/16 2:18:54 p. m. GMT-5,2,No,0,0,2,30 min,Hombre
2021/05/16 2:20:04 p. m. GMT-5,8,No,0,0,1.8,30 min,Mujer
2021/05/16 2:21:31 p. m. GMT-5,8,No,0,0,1.3,30 min,Mujer
2021/05/16 2:22:12 p. m. GMT-5,6,No,0,0,2,30 min,Hombre
2021/05/16 2:22:47 p. m. GMT-5,8,No,0,0,1.4,30 min,Hombre
2021/05/16 2:23:47 p. m. GMT-5,4,No,0,0,3,1 hora,Mujer
2021/05/16 2:23:58 p. m. GMT-5,6,No,0,0,2.4,30 min,Hombre
2021/05/16 2:24:53 p. m. GMT-5,2,No,0,0,3.6,1 hora y 30 min,Mujer
2021/05/16 2:25:03 p. m. GMT-5,4,No,0,0,2,30 min,Mujer
2021/05/16 2:26:17 p. m. GMT-5,9,No,0,0,3.2,1 hora,Hombre
2021/05/16 2:27:01 p. m. GMT-5,6,No,0,0,1.7,30 min,Mujer
